Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Tetraodontidae,"Canthigaster smithae","Allen & Randall, 1977"," M",questionable," Smith's pufferfish (English)",,"13.00 cm TL male/unsexed ",,"Recorded from Pulau Weh, Sumatra (Ref. 47567). Outside distributional range, occurrence needs verification. Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Casmi_u1.jpg"", ""Open image"")"
Tetraodontidae,"Canthigaster solandri","(Richardson, 1845)"," M",native," Netted pufferfish (English)",,"12.10 cm TL male/unsexed ",,"Known from Flores (Ref. 8631) and Pulau Weh, Sumatra (Ref. 47567). Also Ref. 1602.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Casol_u0.jpg"", ""Open image"")"
Tetraodontidae,"Canthigaster tyleri","Allen & Randall, 1977"," M",native,,,"9.00 cm TL male/unsexed ",,"With an Indonesian distribution from the Moluccas (Ref. 47567).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Catyl_u0.jpg"", ""Open image"")"
Tetraodontidae,"Canthigaster valentini","(Bleeker, 1853)"," M",native," Saddled pufferfish (English), Buntel valentini (Malay), Black saddled toby (English)",,"11.00 cm TL male/unsexed ",,"Type locality, Ambon (Ref. 5439). Known from Flores (Ref. 8631, 47567) and Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Bali, Komodo, Manado and vicinity, Pulau Seribu, Sangalakki Island, Pulau Weh, Togean and Banggai Islands (Ref. 47567). Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Caval_u2.jpg"", ""Open image"")"
Tetraodontidae,"Carinotetraodon irrubesco","Tan, 1999"," Fr",native,,,"4.40 cm SL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cairr_u0.jpg"", ""Open image"")"
Tetraodontidae,"Carinotetraodon lorteti","(Tirant, 1885)"," Fr",native,,,"6.00 cm SL male/unsexed ",,"Known from Borneo (Ref. 7050, 36654).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Calor_f0.jpg"", ""Open image"")"
Tetraodontidae,"Chelonodontops patoca","(Hamilton, 1822)"," Br, M",native," Milk-spotted pufferfish (English)",,"38.00 cm SL male/unsexed ",,"Also Ref. 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Chpat_ud.jpg"", ""Open image"")"
Tetraodontidae,"Chonerhinos naritus","(Richardson, 1848)"," Fr",native," Buntel lemas (Malay)",,"28.50 cm TL male/unsexed ",,"Known from Sumatra and Borneo.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Xenar_u0.jpg"", ""Open image"")"
Tetraodontidae,"Dichotomyctere erythrotaenia","(Bleeker, 1853)"," Fr, Br",native,,,"8.50 cm TL male/unsexed ",,"Known from Java (Ref. 7050), Sulawesi, Ambon, Kai Islands and Aru Islands (Ref. 2847).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Teery_u0.jpg"", ""Open image"")"
Tetraodontidae,"Dichotomyctere fluviatilis","(Hamilton, 1822)"," Fr",native," Buntel mas (Malay)",,"17.00 cm TL male/unsexed ",,"Collected from Borneo according to accession records of the Naturhistorisches Museum Wien (Ref. 2091). Also Ref. 4833.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Teflu_u0.jpg"", ""Open image"")"
Tetraodontidae,"Dichotomyctere kretamensis","(Inger, 1953)"," Fr",native,,,"4.50 cm SL male/unsexed ",,"Known from northern Borneo.","No picture yet."
Tetraodontidae,"Dichotomyctere nigroviridis","(Marion de Procé, 1822)"," Fr",native,,,"17.00 cm TL male/unsexed ",,"Also Ref. 7050.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tenig_u0.jpg"", ""Open image"")"
Tetraodontidae,"Dichotomyctere ocellatus","(Steindachner, 1870)"," Fr",native,,,"8.00 cm TL male/unsexed ",,"Known from Borneo.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Chbio_u6.jpg"", ""Open image"")"
Tetraodontidae,"Dichotomyctere sabahensis","(Dekkers, 1975)"," Fr",native,,,"10.80 cm SL male/unsexed ",,"Known from northern Borneo.","No picture yet."
Tetraodontidae,"Javichthys kailolae","Hardy, 1985"," M",native,,,,,"Type locality: Serpent Bank, Bali Strait, Java, 8°33'S, 114°31'30""E, Indonesia, 62-68 m.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Jakai_u0.jpg"", ""Open image"")"
Tetraodontidae,"Lagocephalus gloveri","Abe & Tabeta, 1983"," M",native,,,"35.00 cm SL male/unsexed ",,"From southwest Sumatra to Timor Sea. Museum: NMNZ P.15095 (TGT2117).","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Laglo_u0.jpg"", ""Open image"")"
Tetraodontidae,"Lagocephalus guentheri","Miranda Ribeiro, 1915"," M",native,,,"37.40 cm TL male/unsexed ",,"Also Ref. 5978.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lague_u2.jpg"", ""Open image"")"
